2023-01-03 | rent_payment | 1500.00 | housing
2023-01-06 | weekly_yoga_class | 15.00 | health
2023-01-07 | netflix_subscription | 15.99 | entertainment
2023-01-10 | coffee_shop | 6.50 | food
2023-01-10 | grocery_store_whole foods | 87.43 | food
2023-01-13 | weekly_yoga_class | 15.00 | health
2023-01-15 | gym_membership | 49.99 | health
2023-01-17 | electric_bill | 124.50 | utilities
2023-01-20 | grocery_store_trader joes | 62.18 | food
2023-01-20 | weekly_yoga_class | 15.00 | health
2023-01-22 | amazon_purchase | 34.99 | shopping
2023-01-25 | coffee_shop | 7.25 | food
2023-01-27 | weekly_yoga_class | 15.00 | health
2023-01-28 | uber_eats | 28.50 | food
2023-01-31 | rent_payment | 1500.00 | housing
2023-02-01 | spotify_premium | 9.99 | entertainment
2023-02-03 | weekly_yoga_class | 15.00 | health
2023-02-03 | whole foods_grocery | 95.20 | food
2023-02-05 | coffee_shop | 6.75 | food
2023-02-07 | netflix_subscription | 15.99 | entertainment
2023-02-10 | electric_bill | 118.30 | utilities
2023-02-10 | weekly_yoga_class | 15.00 | health
2023-02-14 | restaurant_dinner | 85.00 | food
2023-02-15 | gym_membership | 49.99 | health
2023-02-17 | weekly_yoga_class | 15.00 | health
2023-02-18 | grocery_store_whole foods | 72.50 | food
2023-02-20 | coffee_shop | 7.00 | food
2023-02-22 | hulu_subscription | 17.99 | entertainment
2023-02-24 | weekly_yoga_class | 15.00 | health
2023-02-25 | uber_eats | 42.30 | food
2023-02-28 | rent_payment | 1500.00 | housing
2023-03-01 | spotify_premium | 9.99 | entertainment
2023-03-03 | weekly_yoga_class | 15.00 | health
2023-03-03 | whole foods_grocery | 88.75 | food
2023-03-05 | coffee_shop | 6.50 | food
2023-03-07 | netflix_subscription | 15.99 | entertainment
2023-03-10 | electric_bill | 135.00 | utilities
2023-03-10 | weekly_yoga_class | 15.00 | health
2023-03-12 | target_purchase | 156.78 | shopping
2023-03-15 | gym_membership | 49.99 | health
2023-03-17 | grocery_store_trader joes | 58.90 | food
2023-03-17 | weekly_yoga_class | 15.00 | health
2023-03-20 | coffee_shop | 7.25 | food
2023-03-22 | amazon_purchase | 89.99 | shopping
2023-03-24 | weekly_yoga_class | 15.00 | health
2023-03-25 | uber_eats | 35.80 | food
2023-03-28 | rent_payment | 1500.00 | housing
2023-03-31 | weekly_yoga_class | 15.00 | health
2023-04-01 | spotify_premium | 9.99 | entertainment
2023-04-03 | whole foods_grocery | 92.30 | food
2023-04-05 | coffee_shop | 6.50 | food
2023-04-07 | netflix_subscription | 15.99 | entertainment
2023-04-07 | weekly_yoga_class | 15.00 | health
2023-04-10 | electric_bill | 142.60 | utilities
2023-04-14 | restaurant_lunch | 18.50 | food
2023-04-14 | weekly_yoga_class | 15.00 | health
2023-04-15 | gym_membership | 49.99 | health
2023-04-18 | grocery_store_whole foods | 67.80 | food
2023-04-20 | coffee_shop | 7.00 | food
2023-04-21 | weekly_yoga_class | 15.00 | health
2023-04-22 | hulu_subscription | 17.99 | entertainment
2023-04-25 | uber_eats | 31.20 | food
2023-04-28 | rent_payment | 1500.00 | housing
2023-04-28 | weekly_yoga_class | 15.00 | health
2023-05-01 | spotify_premium | 9.99 | entertainment
2023-05-03 | whole foods_grocery | 84.50 | food
2023-05-05 | coffee_shop | 6.75 | food
2023-05-05 | weekly_yoga_class | 15.00 | health
2023-05-07 | netflix_subscription | 15.99 | entertainment
2023-05-10 | electric_bill | 128.90 | utilities
2023-05-12 | best_buy_electronics | 299.99 | shopping
2023-05-12 | weekly_yoga_class | 15.00 | health
2023-05-15 | gym_membership | 49.99 | health
2023-05-17 | grocery_store_trader joes | 71.25 | food
2023-05-19 | weekly_yoga_class | 15.00 | health
2023-05-20 | coffee_shop | 7.25 | food
2023-05-22 | amazon_purchase | 45.99 | shopping
2023-05-25 | uber_eats | 38.90 | food
2023-05-26 | weekly_yoga_class | 15.00 | health
2023-05-31 | rent_payment | 1500.00 | housing
2023-06-01 | spotify_premium | 9.99 | entertainment
2023-06-02 | weekly_yoga_class | 15.00 | health
2023-06-03 | whole foods_grocery | 96.70 | food
2023-06-05 | coffee_shop | 6.50 | food
2023-06-07 | netflix_subscription | 15.99 | entertainment
2023-06-09 | weekly_yoga_class | 15.00 | health
2023-06-10 | electric_bill | 155.30 | utilities
2023-06-12 | costco_shopping | 189.50 | shopping
2023-06-15 | gym_membership | 49.99 | health
2023-06-16 | weekly_yoga_class | 15.00 | health
2023-06-17 | grocery_store_whole foods | 78.40 | food
2023-06-20 | coffee_shop | 7.00 | food
2023-06-22 | hulu_subscription | 17.99 | entertainment
2023-06-23 | weekly_yoga_class | 15.00 | health
2023-06-25 | uber_eats | 29.70 | food
2023-06-28 | rent_payment | 1500.00 | housing
2023-06-30 | weekly_yoga_class | 15.00 | health
2023-07-01 | spotify_premium | 9.99 | entertainment
2023-07-03 | whole foods_grocery | 91.20 | food
2023-07-05 | coffee_shop | 6.75 | food
2023-07-07 | netflix_subscription | 15.99 | entertainment
2023-07-07 | weekly_yoga_class | 15.00 | health
2023-07-10 | electric_bill | 148.70 | utilities
2023-07-14 | weekly_yoga_class | 15.00 | health
2023-07-15 | gym_membership | 49.99 | health
2023-07-17 | grocery_store_trader joes | 65.80 | food
2023-07-20 | coffee_shop | 7.25 | food
2023-07-21 | weekly_yoga_class | 15.00 | health
2023-07-22 | amazon_purchase | 129.99 | shopping
2023-07-25 | uber_eats | 44.60 | food
2023-07-28 | weekly_yoga_class | 15.00 | health
2023-07-31 | rent_payment | 1500.00 | housing
2023-08-01 | spotify_premium | 9.99 | entertainment
2023-08-03 | whole foods_grocery | 87.50 | food
2023-08-04 | weekly_yoga_class | 15.00 | health
2023-08-05 | coffee_shop | 6.50 | food
2023-08-07 | netflix_subscription | 15.99 | entertainment
2023-08-10 | electric_bill | 138.20 | utilities
2023-08-11 | weekly_yoga_class | 15.00 | health
2023-08-12 | home_depot_purchase | 78.45 | shopping
2023-08-15 | gym_membership | 49.99 | health
2023-08-17 | grocery_store_whole foods | 69.90 | food
2023-08-18 | weekly_yoga_class | 15.00 | health
2023-08-20 | coffee_shop | 7.00 | food
2023-08-22 | hulu_subscription | 17.99 | entertainment
